caso,carga_lateral_kN,corte_basal_kN,desp_techo_m,sentido_ok
EX,9053.058900000002,-9053.05889999888,0.0039297477044617675,True
EY,9053.058900000002,-9053.058900000111,0.045303170408602815,True
